Application ID,Company,Role,Status,Decision,Purpose,Match Score,Match Class,ATS Estimate,Technical Match,Experience Match,AI Match,Company Trust Score,Company Verdict,Platform,Work Mode,Country,Location,Date Found,Date Posted,Applied Date,Deadline,Job URL,Canonical URL,Official Company URL,Resume Version,Resume File,Resume Attachment,Missing Skills,Next Action,Notes,_page_id,_page_url,_created_time,_last_edited_time,_archived,Salary INR Approx,Recruiter,Interview Date,Recruiter Email,Offer Salary,Discovered By,Created,Next Action Date,Company Check Notes,Resume Variant,External Job ID,Reason Not Applied,AmbitionBox Rating,Salary Confidence,Salary Currency,Recruiter URL,Application Method,Rejection Reason,Response,Decision Reason,Verification,Salary Stated,Follow-up Date,Email Status,Google Maps Presence,Glassdoor Rating,Experience Required,Source Confidence,Last Edited,Assessment,Interview Stage,Normalized Role,Company + Role
APP1,SYSTEM TEST,Tracker write test,DISCOVERED,DO NOT APPLY,,0,Low Priority,,,,,,,Other,Unknown,,,2026-09-04,,,,,,,,,,,,,3d1be82c-b558-818c-b4ae-e083e8830a21,https://app.notion.com/p/SYSTEM-TEST-Tracker-write-test-safe-to-delete-3d1be82cb558818cb4aee083e8830a21,2026-09-04T18:41:00.000Z,2026-09-04T18:41:00.000Z,FALSE,,,,,,,2026-09-04T18:41:00.000Z,,,,,,,UNKNOWN,,,,,,Not a real job. Written 2026-09-04 to verify the Notion tracker accepts writes from the cloud session.,UNVERIFIED,,,,,,,HIGH,2026-09-04T18:41:00.000Z,,,system test,SYSTEM TEST — Tracker write test (safe to delete)
APP7,Redpin,Senior Software Engineer - Backend,EXPIRED,DO NOT APPLY,,,,,,,,,UNVERIFIED,Company Career Page,Onsite,India,"Hyderabad, Telangana",2026-09-04,,,,https://builtin.com/job/senior-software-engineer-backend/9658870,https://builtin.com/job/senior-software-engineer-backend/9658870,,,,,,Watch Redpin careers for a re-posted or mid-level backend req,Java + Spring Boot + REST B2B fintech in Hyderabad - a good profile fit on paper. Worth watching Redpin for a re-post at a mid-level band.,3d1be82c-b558-8183-b298-fb53f97019f3,https://app.notion.com/p/Redpin-Senior-Software-Engineer-Backend-3d1be82cb5588183b298fb53f97019f3,2026-09-04T19:15:00.000Z,2026-09-05T06:28:00.000Z,FALSE,,,,,,,2026-09-04T19:15:00.000Z,,"§3a check NOT RUN this run (2026-09-05). Row Status = EXPIRED (posting no longer live), so no company check is warranted. Nothing verified.",,builtin-9658870,Posting expired/removed 2026-09-01,,UNKNOWN,Unknown,,,,,Posting was removed from the board on 2026-09-01 and is no longer open. Not scored. Had it been live it would still have carried a 1.3-year experience shortfall against a 6+ requirement.,EXPIRED,,,,Not checked,,6+ years,HIGH,2026-09-05T06:28:00.000Z,,,senior software engineer backend,Redpin — Senior Software Engineer - Backend
APP6,Roche,"Full-Stack Software Engineer (Frontend, Backend & Cloud) - Applied & Agentic AI Systems",DISCOVERED,DO NOT APPLY,,41,Low Priority,,9,6,3,,UNVERIFIED,Company Career Page,Onsite,India,"Hyderabad, Telangana",2026-09-04,2026-09-02,,,https://builtin.com/job/full-stack-software-engineer-frontend-backend-cloud-applied-agentic-ai-systems/10660426,https://builtin.com/job/full-stack-software-engineer-frontend-backend-cloud-applied-agentic-ai-systems/10660426,,,,,"TypeScript, React/Next.js or Angular 16+; production-grade Python; AWS (IAM, Lambda, S3, ECS); Docker and Terraform; LLM-powered application backends in production; Snowflake, OpenSearch; graph databases",Add Roche Hyderabad to the watch list for backend/Java AI openings,Worth watching Roche Hyderabad for backend-specific or Java-flavoured AI reqs - the life-sciences domain match is a rare and genuine advantage that would raise the score substantially on a better-matched posting. Duplicate listing also seen at builtin-10660410.,3d1be82c-b558-81b4-8738-ea246501c17e,https://app.notion.com/p/Roche-Full-Stack-Software-Engineer-Applied-Agentic-AI-Systems-3d1be82cb55881b48738ea246501c17e,2026-09-04T19:15:00.000Z,2026-09-05T06:27:00.000Z,FALSE,,,,,,,2026-09-04T19:15:00.000Z,,§3a check NOT RUN this run (2026-09-05). Row scored 41 (Low Priority) on job fit — full-stack frontend+backend+cloud scope beyond Leela's evidenced profile. Roche's existence is not in doubt (SIX: ROG) but no ratings or Maps evidence were retrieved — recorded as UNVERIFIED rather than assumed. Run the full check if reconsidered.,B-AI+Java,builtin-10660426,"Technical stack mismatch (frontend/Python/AWS-heavy, no Java) plus a 2.3-year experience shortfall. No hard flag triggered, but score 41 is well below threshold.",,UNKNOWN,Unknown,,,,,"Painful one to reject, because the domain overlap is real - Roche is pharma and Leela's day job is life-sciences drug-discovery data into Oracle LSH/DMW - and the role is exactly the agentic-AI direction she wants. But the stack is wrong end to end: TypeScript/React and production Python dominate, Java does not appear, AWS/Terraform/Snowflake are unused, and it asks 7+ years against her 4.7. Applying would mean claiming skills she does not have.",REAL,,,,Not checked,,7+ years,MEDIUM,2026-09-05T06:27:00.000Z,,,full stack software engineer agentic ai,"Roche — Full-Stack Software Engineer, Applied & Agentic AI Systems"
APP5,Truveta,Software Engineer - Backend Services,DISCOVERED,MAYBE,,63,Possible,,14,20,3,,UNVERIFIED,Company Career Page,Onsite,India,"Hyderabad, Telangana",2026-09-04,2026-08-22,,,https://builtin.com/job/software-engineer-platform-services/10023376,https://builtin.com/job/software-engineer-platform-services/10023376,,,,,"C# and .NET/.NET Core (primary stack); ASP.NET Core, Web API, Entity Framework; hands-on Azure beyond AZ-900; Docker/Kubernetes; observability tooling",Hold. Revisit only if higher-scoring Java roles do not progress,"Below the 65 threshold, so no tailored resume drafted this run. Healthcare/regulated-environment preference is a genuine partial match to Leela's life-sciences data work. Date Posted from reposted-13-days-ago, APPROXIMATE.",3d1be82c-b558-81f1-abe2-dfe5cf33dd4f,https://app.notion.com/p/Truveta-Software-Engineer-Backend-Services-3d1be82cb55881f1abe2dfe5cf33dd4f,2026-09-04T19:15:00.000Z,2026-09-05T06:28:00.000Z,FALSE,,,,,,,2026-09-04T19:15:00.000Z,,"§3a check NOT RUN this run (2026-09-05). Row scored 63 (Possible) and is still DISCOVERED. Truveta is a US health-data company with a Hyderabad presence; nothing was verified this run. NOTE: a second Truveta role, Senior Software Engineer – AI (Hyderabad, job-boards.greenhouse.io/truveta/jobs/6119397004), was found on 2026-09-05 and rejected on fit — it requires 5+ yrs production ML plus LoRA/PEFT fine-tuning, which Leela does not have. If the backend role here is ever pursued, run the full §3a check first.",C-JavaBackend,builtin-10023376,,,UNKNOWN,Unknown,,,,,"Experience, location, REST/microservices design, database work, testing and security fundamentals all fit, and C# is close enough to Java that interview readiness is achievable in weeks. But the primary language is .NET, not Java, so this trades away Leela's strongest asset without offering AI exposure in return. Only worth pursuing if the Java-track options stall.",REAL,,,,Not checked,,2+ years,MEDIUM,2026-09-05T06:28:00.000Z,,,software engineer backend services,Truveta — Software Engineer - Backend Services
APP4,National Payments Corporation of India (NPCI),Java Backend - Design & Development (URCS),RESUME_PREPARED,MAYBE,,69,Possible,61,12,20,3,100,GENUINE,Company Career Page,Onsite,India,"Hyderabad, Telangana",2026-09-04,,,,https://careers.npci.org.in/jobs/Careers/190737000002092797/Java-Backend---Design-Development-URCS,https://careers.npci.org.in/jobs/Careers/190737000002092797/Java-Backend---Design-Development-URCS,,C-JavaBackend tailored v1 (2026-09-04),03_Tailored_Resumes/NPCI_Java_Backend_Design_Development_URCS_2026-09-04.json,,Apache Kafka; Cassandra/NoSQL; microservices; event-driven architecture and CQRS; Docker; Prometheus/Grafana/ELK,"Before anything else, establish the seniority band and compensation for this req - Built In tags it entry level. If entry-level pay, downgrade to DO NOT APPLY. Also read the real JD on careers.npci.org.in.",Official NPCI careers URL verified as the canonical source (title and Hyderabad location confirmed). Full JD body not fetchable from cloud (JS-rendered); requirement list taken from the Built In mirror builtin-10822291. Posting age reported inconsistently (7 vs 11 days) so Date Posted left empty rather than guessed.,3d1be82c-b558-8170-a3c6-d17b611f813c,https://app.notion.com/p/National-Payments-Corporation-of-India-NPCI-Java-Backend-Design-Development-URCS-3d1be82cb5588170a3c6d17b611f813c,2026-09-04T19:15:00.000Z,2026-09-05T06:25:00.000Z,FALSE,,,,,,,2026-09-04T19:15:00.000Z,2026-09-08,"§3a check 2026-09-05. Website npci.org.in; LinkedIn in.linkedin.com/company/npci (exists). Founded 19 Dec 2008, Section 8 co. set up by RBI+IBA (en.wikipedia.org/wiki/National_Payments_Corporation_of_India). Hyderabad presence: Glassdoor Hyderabad location page with 239 Hyderabad reviews + Justdial listing Hitech City/Madhapur — office presence confirmed indirectly, Google Maps not queried directly. Glassdoor 4.2/5 from 912 reviews, 81% recommend (glassdoor.co.in/Reviews/National-Payments-Corporation-of-India-Reviews-E638466.htm). AmbitionBox: NOT RETRIEVED (page timed out) — see report note: AmbitionBox was unreachable for every company this run, so Glassdoor was scaled to 40 pts per the non-India rule uniformly. Red flags: none found (scam / fake job / salary delay / layoffs searched). Scoring: existence 30 + Glassdoor 40 + scale/age 10 + red flags 20 = 100.",C-JavaBackend,190737000002092797,,,UNKNOWN,Unknown,,,,,"Core Java, REST API design, data modelling and debugging are demonstrated, and NPCI is a genuinely significant national payments institution with real domain value. Held back to MAYBE by three things: no AI content at all, a heavy distributed-systems stack Leela has not used (Kafka, Cassandra, microservices, event sourcing), and an entry-level banding that carries real compensation-downgrade risk at 4.7 years.",REAL,,,,Found,4.2,Not stated on posting; Built In tags it entry level,HIGH,2026-09-05T06:25:00.000Z,,,java backend developer,National Payments Corporation of India (NPCI) — Java Backend - Design & Development (URCS)
APP2,Lloyds Technology Centre,Software Engineer II,RESUME_PREPARED,APPLY,,82,Strong,83.8,21,20,8,100,GENUINE,Company Career Page,Hybrid,India,"Hyderabad, Telangana",2026-09-04,2026-08-22,,2026-09-29,https://builtin.com/job/software-engineer/10232210,https://builtin.com/job/software-engineer/10232210,,Lloyds_Technology_Centre_Software_Engineer_II_2026-09-18 (from resume_master_backend_genai_v5_1) — supersedes B-AI+Java tailored v1 (2026-09-04),"03_Tailored_Resumes/Lloyds_Technology_Centre_Software_Engineer_II_2026-09-18.md — the 2026-09-04 JSON is WITHDRAWN, do not submit it",,"full-stack/frontend breadth (UNSUPPORTED — never claim); monitoring/alerting ownership (UNSUPPORTED — incident resolution is not the same thing); DevOps depth beyond pipeline support (growth area, answer honestly)","Leela, before the 2026-09-29 deadline: (1) open the OFFICIAL Lloyds Technology Centre careers site — the JD used here came from the Built In mirror and never names Java, so a Java shop is an INFERENCE; confirm the requisition is live and check the language stack, and if it is .NET or Python the skills ordering needs rethinking; (2) then apply at ATS 83.8, which is below the 90 gate but at the truthful ceiling, so it is a conscious §5 step 7 decision; (3) set Status = SUBMITTED with the date.","Source: Built In India listing fetched 2026-09-04. Date Posted derived from reposted-13-days-ago, APPROXIMATE. Position ends 2026-09-29 read as application deadline. Official Lloyds careers page not fetchable from cloud (JS-rendered).",3d1be82c-b558-819b-97f2-ca83f8ac2b8b,https://app.notion.com/p/Lloyds-Technology-Centre-Software-Engineer-II-3d1be82cb558819b97f2ca83f8ac2b8b,2026-09-04T19:15:00.000Z,2026-09-18T03:25:00.000Z,FALSE,,,,,,,2026-09-04T19:15:00.000Z,2026-09-19,"§3a check 2026-09-05. Website lloydstechnologycentre.com; careers on Lloyds Banking Group Workday tenant; LinkedIn in.linkedin.com/company/lloyds-technology-centre-india (exists). Founded 2023, HQ Hyderabad, publicly marked 1,000-colleague milestone. Office: Knowledge City, Hyderabad, per LTC's own announcement (lloydstechnologycentre.com/posts/lloyds-banking-group-opens-technology-centre-operations-in-hyderabad-2) + Glassdoor Hyderabad location page — confirmed indirectly, Google Maps not queried directly. Glassdoor 4.0/5 from 363 reviews, 81% recommend, 87% CEO approval (glassdoor.co.in/Reviews/Lloyds-Technology-Centre-Reviews-E9265226.htm). AmbitionBox: NOT RETRIEVED (timeout) — Glassdoor scaled to 40 uniformly this run. Red flags: no scam/fake-job/salary-delay findings. Context, not a red flag against the India entity: UK parent announced UK IT cuts with ~4,000 roles moving to India in 2025 (crowdfundinsider.com, hrkatha.com) — net-positive for India hiring but a cost-arbitrage GCC model. Some Glassdoor reviews cite office politics and dated tech stack (opinion, unverified). Scoring: existence 30 + Glassdoor 40 + scale/age 10 + red flags 20 = 100.",B-AI+Java,builtin-10232210,,,UNKNOWN,Unknown,,,,,"Best fit of the run. Asks 3-5 yrs; Leela at 4.7 is in range. Required list maps almost entirely onto demonstrated work: backend principles, API development, clean code, maintenance and support, live service monitoring (15 prod issues via RCA), test automation (JUnit). Basic AI concepts covered by AI-900 plus the AI Career Agent project. Gaps small and learnable.",REAL,,,,Found,4,3-5 years,MEDIUM,2026-09-18T03:25:00.000Z,"Resume REGENERATED 2026-09-18 from master v5.1; the 2026-09-04 version is withdrawn (it was built from the retired resume_B_ai_java_v1 and led on the AI Career Agent project Leela removed on 2026-09-08). Validation gate SYSTEM_SPEC 6: PASS, script-verified — 12/12 bullets trace to master at >=0.92 similarity, no excluded item present, all 8 metrics unchanged. ESTIMATED ATS 83.8 computed by ats_confidence.py (not by hand), truthful ceiling 83.8, confidence HIGH (17 skills extracted): the row is AT ITS CEILING with zero closeable gaps left. The first draft scored 78.8 against a ceiling of 86.3 and was genuinely under-tailored; adding the literal tokens 'Backend development', 'API integration' and 'OOP' — all describing work already on the resume — closed every claimable gap. The remaining 16 points need 'full stack', 'frontend' or 'monitoring', none of which Leela can truthfully claim (she has resolved production incidents but has not owned monitoring or alerting). No further tailoring will move this row: it is apply-or-skip. Claude Certified Architect — Foundations (passed 2026-09-18) is what makes the JD's 'basic AI concepts understanding' requirement an earned claim.",,software engineer ii,Lloyds Technology Centre — Software Engineer II
APP3,Wise,Senior Backend Engineer,RESUME_PREPARED,APPLY,,77,Good,68,14,20,8,80,GENUINE,Company Career Page,Hybrid,India,"Hyderabad, Telangana",2026-09-04,2026-08-10,,,https://builtin.com/job/senior-backend-engineer/10330741,https://builtin.com/job/senior-backend-engineer/10330741,,B-AI+Java tailored v1 (2026-09-04),03_Tailored_Resumes/Wise_Senior_Backend_Engineer_2026-09-04.json,,Kafka and event-driven architecture; MongoDB; Docker/Terraform/Kubernetes; Spring Boot depth (Leela self-reports low confidence); gRPC,"Check the posting is still open on wise.jobs (approx 25 days old). Review tailored resume, then set APPROVED. Start the Kafka pack in 07_Learning before any interview.","Source: Built In India listing fetched 2026-09-04. Date Posted derived from 25-days-ago, APPROXIMATE - check freshness before applying. Preferred skills include AI coding assistants (Claude Code, Codex, Cursor), so Resume B applies. Seniority scored 8/10: senior title but stated band includes Leela.",3d1be82c-b558-81fe-9991-daef46674365,https://app.notion.com/p/Wise-Senior-Backend-Engineer-3d1be82cb55881fe9991daef46674365,2026-09-04T19:15:00.000Z,2026-09-05T06:26:00.000Z,FALSE,,,,,,,2026-09-04T19:15:00.000Z,2026-09-08,"§3a check 2026-09-05. Website wise.com (careers wise.jobs); LinkedIn linkedin.com/company/wiseaccount (exists). Founded 2011 (as TransferWise), HQ London, headcount band 5,001–10,000 per Glassdoor profile. Hyderabad hub confirmed by Wise's own newsroom (newsroom.wise.com — 'Wise doubles down in India, announces new hub in Hyderabad') and Indian press (thehansindia.com) — confirmed indirectly, Google Maps not queried directly. Glassdoor 3.6/5 from 2,392 reviews, 64% recommend, CEO 75% (glassdoor.co.in/Overview/Working-at-Wise-EI_IE637715.11,15.htm). AmbitionBox: NOT RETRIEVED (timeout) — Glassdoor scaled to 40 uniformly this run. Red flags: one layoff event on record — Feb 2025 Tampa US office closed, 300+ roles (trueup.io); no India-specific layoffs found; no scam/fake-job/salary-delay reports. Glassdoor senior-management sub-score 3.0/5 and ~9% YoY drop in culture and work-life ratings. Scoring: existence 30 + Glassdoor 30 (3.5–3.9 band) + scale/age 10 + red flags 10 (one soft flag) = 80.",B-AI+Java,builtin-10330741,,,UNKNOWN,Unknown,,,,,"Java and Spring Boot backend at a high-quality fintech, Hyderabad, and the 4-8 yr band covers Leela at 4.7. Core Java, REST API design, SQL optimisation and automated testing are all demonstrated. Real compensation and trajectory upside versus current role. Genuine gaps (Kafka, MongoDB, Docker/Terraform/K8s) are closable in about four weeks of focused study.",REAL,,,,Found,3.6,4-8 years,MEDIUM,2026-09-05T06:26:00.000Z,,,senior backend engineer,Wise — Senior Backend Engineer
APP11,FIS Global,Systems Administrator I,REJECTED,DO NOT APPLY,,,,,,,,,UNVERIFIED,Email Alert,Onsite,USA,"San Juan, Puerto Rico",2026-09-04,2026-09-04,,,,,,,,,,"Leela may want to retune or unsubscribe from the FIS Talent Community alert - it is generating noise, not leads","Only job-alert email received in the 24h window, from the FIS Global Talent Community subscription (opportunities@careeralerts.fisglobal.com, 2026-09-04). The subscription is currently sending US infrastructure roles that do not match Leela's targets.",3d1be82c-b558-8103-81bf-e859f00e2567,https://app.notion.com/p/FIS-Global-Systems-Administrator-I-San-Juan-PR-3d1be82cb558810381bfe859f00e2567,2026-09-04T19:16:00.000Z,2026-09-05T06:27:00.000Z,FALSE,,,,,,,2026-09-04T19:16:00.000Z,,"§3a check NOT RUN this run (2026-09-05). Row already REJECTED — the role (Systems Administrator I, San Juan, Puerto Rico) is unrelated to Leela's targets and came from an FIS Global Talent Community email alert. FIS Global's existence is not in doubt (NYSE: FIS) but no ratings or Maps evidence were retrieved — recorded as UNVERIFIED rather than assumed.",,,Unrelated role type and work authorisation impossible,,UNKNOWN,Unknown,,,,,"HARD FLAG on two counts: role is fundamentally unrelated (systems administration, not software engineering) and the location is Puerto Rico, requiring US work authorisation. Not scored.",REAL,,,"Job alert - reviewed, no action",Not checked,,,HIGH,2026-09-05T06:27:00.000Z,,,systems administrator,"FIS Global — Systems Administrator I (San Juan, PR)"
APP8,Evertz Microsystems,Senior Software Engineer - Backend,REJECTED,DO NOT APPLY,,72,Good,,15,12,15,,UNVERIFIED,Company Career Page,Onsite,Other,"Burlington, Ontario, Canada",2026-09-04,,,,https://evertz.applytojob.com/apply/S3IO5DrQSS/Senior-Software-Engineer-Backend,https://evertz.applytojob.com/apply/S3IO5DrQSS/Senior-Software-Engineer-Backend,,,,,"AWS hands-on; Gradle, Mockito; Jenkins/CodePipeline; broadcast/real-time systems domain",None. Use as evidence that MCP/AI-tooling skills belong on the Java resume,"Keep as a market-intelligence datapoint: employers are now writing AI coding tools and MCP directly into Java backend JDs, which validates the Resume B positioning. Evertz also lists a Bangalore Java Backend AI role - tracked separately.",3d1be82c-b558-81ca-a177-f7aa26a3644d,https://app.notion.com/p/Evertz-Microsystems-Senior-Software-Engineer-Backend-Burlington-Canada-3d1be82cb55881caa177f7aa26a3644d,2026-09-04T19:16:00.000Z,2026-09-05T06:27:00.000Z,FALSE,,,,,,,2026-09-04T19:16:00.000Z,,"§3a check NOT RUN this run (2026-09-05). Row already REJECTED on job fit (score 72 but hard-flagged). Evertz Microsystems is a listed Canadian broadcast-equipment maker (TSX: ET) so existence is not in doubt, but no ratings, India-office or Maps evidence was retrieved — recorded as UNVERIFIED rather than assumed. Run the full check if reconsidered.",B-AI+Java,S3IO5DrQSS,"Work authorisation impossible - onsite Canada, no sponsorship indicated. Hard flag per spec section 2.",,STATED,Unknown,,,,,"HARD FLAG: onsite in Burlington, Ontario with no Canadian work authorisation. Recorded because the technical shape is the single best AI+Java match seen this run - Java, Spring Boot, AWS microservices, plus explicit requirements around AI coding tools and preferred MCP server and prompt-engineering experience. This is precisely the Resume B narrative, in a country Leela cannot currently work in.",REAL,"CAD 70,000 - 100,000+ per year",,,Not checked,,5+ years,HIGH,2026-09-05T06:27:00.000Z,,,senior software engineer backend,"Evertz Microsystems — Senior Software Engineer - Backend (Burlington, Canada)"
APP9,Evertz Microsystems,"Senior Software Engineer - Java Backend, AI",DISCOVERED,MANUAL REVIEW,,,,,,,,,UNVERIFIED,Other,Unknown,India,"Bangalore, Karnataka",2026-09-04,,,,,,,,,,,Leela to search Evertz careers or LinkedIn for the Bangalore Java Backend AI req and paste the JD or URL into the Notion Job Inbox for the next run to score,"Potentially the highest-value lead of the run: a Java Backend + AI role at a company that demonstrably writes AI tooling and MCP into its backend JDs, located in a target city Leela can actually work in. Needs a human to pull the JD.",3d1be82c-b558-81ce-9416-c21b2f88daba,https://app.notion.com/p/Evertz-Microsystems-Senior-Software-Engineer-Java-Backend-AI-Bangalore-3d1be82cb55881ce9416c21b2f88daba,2026-09-04T19:16:00.000Z,2026-09-05T06:27:00.000Z,FALSE,,,,,,,2026-09-04T19:16:00.000Z,,§3a check NOT RUN this run (2026-09-05). Row is still DISCOVERED with no score and no Job URL — it needs the JD located and scored before a company check is worth spending. Evertz Microsystems is a listed Canadian company (TSX: ET); nothing was verified this run. Also check whether this duplicates the other Evertz row before acting.,,,,,UNKNOWN,Unknown,,,,,"Seen only as a title in a Built In India index listing (Bangalore, reposted ~13 days ago). No JD body, no requirements, no canonical employer URL retrieved, and it must not be conflated with the Canadian Evertz req which has a different location and reference. Not scored - scoring it would mean inventing requirements.",UNVERIFIED,,,,Not checked,,,LOW,2026-09-05T06:27:00.000Z,,,senior software engineer java backend ai,"Evertz Microsystems — Senior Software Engineer - Java Backend, AI (Bangalore)"
